Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-02-03,The House,2022,https://boxd.it/8I5uCT,1,Yes,,2024-05-10
2025-02-03,The Green Mile,1999,https://boxd.it/8I5Jq9,4,Yes,,2024-05-10
2025-02-03,Rubber,2010,https://boxd.it/8I57EH,4,Yes,,2024-05-17
2025-02-03,Starship Troopers,1997,https://boxd.it/8I4XRB,2,,,2024-05-18
2025-02-03,Ghost Rider,2007,https://boxd.it/8I5UlJ,3,Yes,,2024-05-27
2025-02-03,Downfall,2004,https://boxd.it/8I6pX5,2.5,Yes,,2024-06-08
2025-02-03,Lucy,2014,https://boxd.it/8I6zUv,2.5,,,2024-06-09
2025-02-03,Who Killed Captain Alex?,2010,https://boxd.it/8I6RQh,2,,,2024-06-14
2025-02-03,The Shining,1980,https://boxd.it/8I72xl,4,,,2024-06-15
2025-02-03,Geostorm,2017,https://boxd.it/8I7hWZ,1.5,,,2024-06-25
2025-02-03,Birdemic 2: The Resurrection,2013,https://boxd.it/8I7xAv,0.5,,,2024-06-26
2025-02-03,National Treasure,2004,https://boxd.it/8I7J9r,2.5,,,2024-07-17
2025-02-03,Saving Private Ryan,1998,https://boxd.it/8I7Xsd,4,,,2024-08-17
2025-02-03,The Godfather,1972,https://boxd.it/8I848J,2,,,2024-08-17
2025-02-03,Ford v Ferrari,2019,https://boxd.it/8I8exp,3.5,,,2024-08-28
2025-02-03,Ghost Rider: Spirit of Vengeance,2011,https://boxd.it/8I6fkn,0.5,Yes,,2024-08-29
2025-02-03,Ace Ventura: Pet Detective,1994,https://boxd.it/8I8nwb,0.5,,,2024-10-15
2025-02-03,The Equalizer,2014,https://boxd.it/8I8unF,3,,,2024-10-28
2025-02-03,Whiplash,2014,https://boxd.it/8I8Jnb,4.5,,,2024-11-05
2025-02-03,The Platform,2019,https://boxd.it/8I8XO1,2.5,,,2024-11-11
2025-02-02,Airplane!,1980,https://boxd.it/8Hn10D,4.5,,,2025-02-01
2025-02-04,The Fall Guy,2024,https://boxd.it/8IXCfr,2,,,2025-02-03
2025-02-06,The Wolf of Wall Street,2013,https://boxd.it/8KcVwv,5,,,2025-02-05
